epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27.0665,1.48505,1.15936,1.01197,0.49484,0.78475,0.56825,0.3029,1.64272,1.56377,0.99931,0.000822003,0.000822003,0.000822003
43,27.6938,1.46646,1.16457,1.01463,0.49484,0.78475,0.56825,0.3029,1.64272,1.56377,0.99931,0.000827782,0.000827782,0.000827782
44,28.3252,1.49731,1.23924,1.01088,0.48394,0.82225,0.56776,0.30853,1.62484,1.49648,0.99942,0.000832902,0.000832902,0.000832902
45,28.9461,1.47944,1.18332,1.0009,0.48394,0.82225,0.56776,0.30853,1.62484,1.49648,0.99942,0.000837361,0.000837361,0.000837361
46,29.584,1.53618,1.22173,1.04393,0.48551,0.78712,0.56859,0.31535,1.6132,1.50306,0.99927,0.00084116,0.00084116,0.00084116
47,30.1971,1.48511,1.16963,1.02134,0.48551,0.78712,0.56859,0.31535,1.6132,1.50306,0.99927,0.000844299,0.000844299,0.000844299
48,30.8358,1.49863,1.12624,1.01871,0.48546,0.76499,0.56187,0.3047,1.65009,1.4968,1.01103,0.000846778,0.000846778,0.000846778
49,31.4694,1.49525,1.14091,1.01082,0.48546,0.76499,0.56187,0.3047,1.65009,1.4968,1.01103,0.000848596,0.000848596,0.000848596
50,32.1373,1.48655,1.12594,0.9819,0.47039,0.77528,0.53445,0.27738,1.70844,1.46249,1.03181,0.000849755,0.000849755,0.000849755
51,32.8056,1.52641,1.10015,1.01969,0.47039,0.77528,0.53445,0.27738,1.70844,1.46249,1.03181,0.000841835,0.000841835,0.000841835
52,33.474,1.50269,1.12903,1.01616,0.46454,0.83124,0.51344,0.27325,1.634,1.39848,1.01311,0.000825332,0.000825332,0.000825332
53,34.1401,1.50157,1.14428,1.00859,0.46454,0.83124,0.51344,0.27325,1.634,1.39848,1.01311,0.000808828,0.000808828,0.000808828
54,34.844,1.49738,1.14277,0.99665,0.45996,0.84609,0.50895,0.27566,1.59096,1.37741,1.00085,0.000792325,0.000792325,0.000792325
55,35.531,1.50998,1.07991,1.00691,0.45996,0.84609,0.50895,0.27566,1.59096,1.37741,1.00085,0.000775822,0.000775822,0.000775822
