epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19351,2.99768,4.04889,2.14108,0.01248,0.03986,0.00917,0.00337,2.12802,4.00688,1.69493,6.25e-05,6.25e-05,6.25e-05
2,3.6364,2.55689,3.95307,1.94086,0.01289,0.04737,0.00727,0.00332,1.71348,3.97217,1.40875,0.000136139,0.000136139,0.000136139
3,5.07157,2.18735,3.83939,1.60305,0.0253,0.10329,0.01738,0.00574,1.62394,3.84187,1.1768,0.000208293,0.000208293,0.000208293
4,6.4921,2.12637,3.63839,1.49975,0.03114,0.11384,0.02953,0.01066,1.57851,3.82764,1.14257,0.000278961,0.000278961,0.000278961
5,7.94092,2.02265,3.44411,1.42699,0.02779,0.15817,0.03157,0.01057,1.53283,3.77667,1.17824,0.000348145,0.000348145,0.000348145
6,9.39546,2.03531,3.24456,1.40084,0.03187,0.18098,0.0555,0.01899,1.53071,3.67603,1.18769,0.000415844,0.000415844,0.000415844
7,10.7759,1.99114,2.98863,1.36393,0.0612,0.33044,0.17693,0.1094,1.58923,3.54471,1.20018,0.000482057,0.000482057,0.000482057
8,12.229,2.02221,2.73311,1.39571,0.06305,0.36499,0.20425,0.13143,1.54143,3.4597,1.2179,0.000546786,0.000546786,0.000546786
9,13.7125,2.03037,2.48597,1.3739,0.06506,0.37281,0.22527,0.13496,1.61239,3.46842,1.27052,0.00061003,0.00061003,0.00061003
10,15.1235,2.07089,2.41508,1.40664,0.06235,0.38144,0.22579,0.13339,1.66747,3.39838,1.28875,0.000671789,0.000671789,0.000671789
11,16.5234,2.05521,2.28081,1.3957,0.08307,0.43893,0.20632,0.13622,1.65712,3.14736,1.30318,0.000732063,0.000732063,0.000732063
12,18.039,1.93651,1.99684,1.29295,0.15748,0.6199,0.28568,0.17385,1.63567,2.58469,1.27261,0.000790851,0.000790851,0.000790851
13,19.4663,1.89865,1.95491,1.29819,0.3891,0.45681,0.34716,0.21992,1.624,2.23237,1.25733,0.000848155,0.000848155,0.000848155
14,20.9155,2.03659,1.97549,1.38779,0.41984,0.52542,0.3744,0.20836,1.68697,2.07764,1.27728,0.000903974,0.000903974,0.000903974
15,22.2757,1.95494,1.90455,1.3884,0.40974,0.56366,0.39351,0.21541,1.68283,2.00226,1.27089,0.000958307,0.000958307,0.000958307
16,23.6675,1.8892,1.76182,1.30629,0.47922,0.59985,0.4591,0.27402,1.55802,1.70574,1.20766,0.00101116,0.00101116,0.00101116
17,25.2035,1.91916,1.7497,1.36942,0.50363,0.59769,0.46751,0.28096,1.54693,1.67309,1.20054,0.001052,0.001052,0.001052
18,26.6822,1.89104,1.73303,1.33527,0.50011,0.59567,0.47746,0.30785,1.45995,1.59717,1.18596,0.00103962,0.00103962,0.00103962
19,28.1042,1.87272,1.69008,1.33606,0.50207,0.6385,0.48542,0.29899,1.47511,1.65763,1.21735,0.00102725,0.00102725,0.00102725
20,29.5363,1.87309,1.56858,1.30084,0.51827,0.53448,0.47884,0.29877,1.43993,1.71287,1.20561,0.00101488,0.00101488,0.00101488
21,31.0026,1.83669,1.5659,1.31218,0.52385,0.59975,0.51594,0.31742,1.39054,1.68702,1.17012,0.0010025,0.0010025,0.0010025
22,32.5135,1.76158,1.52886,1.25741,0.55054,0.62321,0.52614,0.31,1.39273,1.68061,1.18156,0.000990125,0.000990125,0.000990125
23,33.9564,1.75967,1.53013,1.26711,0.54266,0.5921,0.49818,0.30616,1.35229,1.69001,1.16151,0.00097775,0.00097775,0.00097775
24,35.3665,1.84576,1.51295,1.30726,0.5129,0.62927,0.50499,0.32043,1.29868,1.74575,1.13523,0.000965375,0.000965375,0.000965375
25,37.0141,1.71683,1.47724,1.26626,0.54871,0.68073,0.54234,0.3233,1.39734,1.69493,1.17402,0.000953,0.000953,0.000953
26,38.695,1.71372,1.46397,1.27627,0.46208,0.67369,0.45909,0.27708,1.34454,1.7358,1.1672,0.000940625,0.000940625,0.000940625
27,40.1863,1.79147,1.58016,1.33132,0.49707,0.67083,0.47471,0.29443,1.30395,1.65417,1.15228,0.00092825,0.00092825,0.00092825
28,41.5351,1.71916,1.45974,1.27171,0.52905,0.64549,0.51966,0.3216,1.26923,1.4771,1.14072,0.000915875,0.000915875,0.000915875
29,43.0335,1.77527,1.49867,1.28689,0.47085,0.61847,0.47121,0.28606,1.28884,1.52164,1.13672,0.0009035,0.0009035,0.0009035
