epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4014.21,0.91058,0.55115,0.90177,0.90192,0.80226,0.88618,0.63779,1.05514,0.78168,0.94261,0.0011882,0.0011882,0.0011882
43,4105.66,0.90519,0.55892,0.90233,0.92216,0.71966,0.84682,0.5727,1.20001,0.96638,0.98102,0.0011684,0.0011684,0.0011684
44,4197.19,0.8989,0.57855,0.89759,0.93429,0.69655,0.82553,0.5832,1.06359,0.98233,0.94626,0.0011486,0.0011486,0.0011486
45,4287.26,0.89891,0.57051,0.89806,0.94792,0.80961,0.87509,0.63166,1.05603,0.71119,0.95249,0.0011288,0.0011288,0.0011288
46,4380.87,0.89757,0.56697,0.89761,0.90544,0.77759,0.83911,0.59523,1.11169,0.80975,0.96606,0.001109,0.001109,0.001109
47,4474.61,0.8837,0.58588,0.89668,0.88829,0.76345,0.85404,0.60135,1.09466,0.8672,0.95362,0.0010892,0.0010892,0.0010892
48,4568.41,0.90019,0.54809,0.89255,0.89782,0.76759,0.85431,0.61506,1.073,0.86076,0.95958,0.0010694,0.0010694,0.0010694
49,4657.98,0.8828,0.55132,0.90079,0.93006,0.82966,0.88845,0.6312,1.06622,0.71957,0.94465,0.0010496,0.0010496,0.0010496
50,4752.73,0.88774,0.56021,0.89173,0.90517,0.81931,0.88567,0.62496,1.10911,0.78636,0.94932,0.0010298,0.0010298,0.0010298
51,4844.73,0.87197,0.53347,0.89592,0.88869,0.75987,0.85245,0.5995,1.1009,0.9468,0.95571,0.00101,0.00101,0.00101
52,4939,0.88475,0.53763,0.89267,0.9152,0.7369,0.83101,0.59666,1.06669,0.8991,0.95164,0.0009902,0.0009902,0.0009902
53,5029.77,0.86307,0.53135,0.88809,0.9284,0.72034,0.82912,0.59941,1.07315,0.90574,0.95968,0.0009704,0.0009704,0.0009704
54,5125.89,0.86061,0.51191,0.88574,0.92332,0.71417,0.82221,0.60154,1.06793,1.02388,0.96672,0.0009506,0.0009506,0.0009506
55,5223.75,0.85973,0.53971,0.88541,0.90115,0.78585,0.87422,0.61743,1.05401,0.8619,0.94247,0.0009308,0.0009308,0.0009308
56,5313.31,0.84921,0.52233,0.88838,0.89037,0.72655,0.83449,0.60658,1.07321,0.97662,0.95269,0.000911,0.000911,0.000911
57,5405.07,0.84848,0.50273,0.88469,0.87385,0.62034,0.73476,0.51352,1.18538,1.31025,0.99904,0.0008912,0.0008912,0.0008912
58,5497.97,0.87153,0.51905,0.88783,0.89092,0.67596,0.77215,0.5468,1.15331,1.14239,0.97911,0.0008714,0.0008714,0.0008714
59,5590.57,0.85984,0.52012,0.88796,0.84291,0.62828,0.74348,0.53327,1.17721,1.14416,0.99049,0.0008516,0.0008516,0.0008516
60,5685.85,0.87062,0.52369,0.88785,0.87775,0.62142,0.7569,0.53517,1.14777,1.28281,0.97321,0.0008318,0.0008318,0.0008318
61,5777.15,0.83871,0.51503,0.88255,0.89345,0.69976,0.80144,0.56405,1.20805,0.98867,0.99394,0.000812,0.000812,0.000812
62,5873.79,0.86272,0.51895,0.88355,0.86449,0.68636,0.8147,0.54889,1.17498,1.06213,0.99361,0.0007922,0.0007922,0.0007922
63,5968.65,0.84083,0.51231,0.88382,0.8833,0.58069,0.75304,0.53497,1.16561,1.34743,0.99073,0.0007724,0.0007724,0.0007724
64,6073.51,0.83685,0.49406,0.88344,0.86552,0.58966,0.72423,0.52603,1.16449,1.37153,0.99485,0.0007526,0.0007526,0.0007526
65,6167.28,0.8336,0.49561,0.88218,0.84509,0.61379,0.76474,0.52717,1.18906,1.27014,0.99134,0.0007328,0.0007328,0.0007328
